BAIRRO,CASOS_CONFIRMADOS,COEFICIENTE_INCIDENCIA,POPULACAO,RECUPERADOS,CIDADE,procurar,raw,LATITUDE,LONGITUDE,POINT
Curuzu,1275,76.43,16681,1193,Salvador,"Salvador, Curuzu","Curuzu, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40366-110, Brasil",-129.457.424,-384.867.286,"12 56m 44.6726s S, 38 29m 12.223s W"
Dois de Julho,973,0.0,0,926,Salvador,"Salvador, Dois de Julho","Dois de Julho, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-1.298.085.125,-3.851.700.027.699.380,"12 58m 51.0645s S, 38 31m 1.201s W"
Dom Avelar,922,77.86,11842,882,Salvador,"Salvador, Dom Avelar","Dom Avelar, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40290-200, Brasil",-129.030.259,-384.487.354,"12 54m 10.8932s S, 38 26m 55.4474s W"
Doron,846,114.67,7378,821,Salvador,"Salvador, Doron","Conjunto Residencial Doron - Cabula IX, COHAB, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-12.960.290.449.999.900,-38.441.281.037.286.500,"12 57m 37.0456s S, 38 26m 28.6117s W"
Engenho Velho da Federacao,2053,83.61,24555,1963,Salvador,"Salvador, Engenho Velho da Federacao","Engenho Velho da Federação, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40230-731, Brasil",-130.002.947,-384.965.017,"13 0m 1.06092s S, 38 29m 47.4061s W"
Engenho Velho de Brotas,3064,119.21,25703,2940,Salvador,"Salvador, Engenho Velho de Brotas","Engenho Velho de Brotas, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.879.097,-385.018.444,"12 59m 16.4749s S, 38 30m 6.63984s W"
Engomadeira,896,71.39,12550,846,Salvador,"Salvador, Engomadeira","Vila Engomadeira, Barreiras, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-1.294.834.605,-3.845.591.277.629.700,"12 56m 54.0458s S, 38 27m 21.286s W"
Fazenda Coutos,1667,68.73,24255,1604,Salvador,"Salvador, Fazenda Coutos","Vila Fazenda Coutos, Coutos, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-128.494.996,-3.846.364.167.071.050,"12 50m 58.1986s S, 38 27m 49.11s W"
Fazenda Grande do Retiro,5371,99.82,53806,5069,Salvador,"Salvador, Fazenda Grande do Retiro","Fazenda Grande do Retiro, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40354-135, Brasil",-129.426.093,-384.800.551,"12 56m 33.3935s S, 38 28m 48.1984s W"
Fazenda Grande I,541,47.21,11459,505,Salvador,"Salvador, Fazenda Grande I","Guarda Civil de Salvador, Rua do Horto, IAPI, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40354-135, Brasil",-129.472.562,-384.790.222,"12 56m 50.1223s S, 38 28m 44.4799s W"
